AscendOS - Hardware Requirements by Seat Count
Hardware specification only. Three deployment options: Managed platform (Render), Raw VPS (Hetzner), Serverless (Google Cloud Run).
Usage: Code Compass 15-20 searches per seat per working day. Code Inspector 5-7 scans per user per working day.
Hardware columns are sized on the HIGH end of that range. Peak hour sized at 3x the daily average.
Totals include the search index host, which becomes its own machine past a threshold.

Code Compass only
Every seat runs 15–20 Code Compass searches per working day.
Seats,Peak concurrent jobs (low usage),Peak concurrent jobs (high usage),vCPU required (high),App RAM required GB (high),Search index RAM GB,Search index disk GB,MANAGED: web instances,MANAGED: index host,MANAGED: total machines,MANAGED: total vCPU,MANAGED: total RAM GB,VPS: web servers,VPS: index host,VPS: total machines,VPS: total vCPU,VPS: total RAM GB,SERVERLESS: peak instances,SERVERLESS: warm instances,SERVERLESS: peak vCPU,SERVERLESS: peak RAM GB,SERVERLESS: search index
20,0.38,0.50,0.50,1.38,0.44,1,"Standard x1","on web instance",1,1,2,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
40,0.75,1.00,0.65,1.55,0.52,1,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
60,1.13,1.50,0.80,1.72,0.63,1,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
80,1.50,2.00,0.95,1.90,0.70,1,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
100,1.88,2.50,1.10,2.08,0.81,2,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
120,2.25,3.00,1.25,2.25,0.89,2,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
140,2.63,3.50,1.40,2.42,1.00,2,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
160,3.00,4.00,1.55,2.60,1.07,2,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
180,3.38,4.50,1.70,2.77,1.18,2,"Standard x2","on web instance",2,2,4,"CX23 x1","on web server",1,2,4,1,1,1,2,"managed service"
200,3.75,5.00,1.85,2.95,1.25,2,"Standard x3","on web instance",3,3,6,"CX33 x1","on web server",1,4,8,1,1,1,2,"managed service"
220,4.13,5.50,2.00,3.13,1.37,2,"Standard x3","on web instance",3,3,6,"CX33 x1","on web server",1,4,8,1,1,1,2,"managed service"
